genus,evidence_class,analysis_class
Acacesia,D1,C3
Agelenopsis,D2,C3
Allocosa,D3,C3
Alopecosa,D2,C3
Anelosimus,D1,C3
Anyphaena,D1,C3
Araneus,D1,C3
Araniella,D1,C3
Arctosa,D1,C3
Argiope,D1,C3
Ariamnes,D3,C3
Asagena,D1,C3
Badumna,D2,C3
Balmaceda,D3,C3
Castianeira,D2,C3
Cesonia,D1,C3
Cheiracanthium,D1,C3
Creugas,D3,C3
Cyclosa,D2,C3
Dendryphantes,D3,C3
Diaea,D1,C3
Dictyna,D1,C3
Drassodes,D3,C3
Drassyllus,D2,C3
Dysdera,D1,C3
Emblyna,D2,C3
Eriophora,D2,C3
Eustala,D2,C3
Frontinella,D2,C3
Habronattus,D2,C3
Hamataliwa,D2,C3
Haplodrassus,D1,C3
Hentzia,D2,C3
Herpyllus,D2,C3
Hibana,D2,C3
Hogna,D2,C3
Isaloides,D3,C3
Latrodectus,D1,C3
Leptoctenus,D3,C3
Leucauge,D2,C3
Lupettiana,D3,C3
Lyssomanes,D3,C3
Mangora,D1,C3
Mastophora,D2,C3
Mecaphesa,D1,C3
Metaphidippus,D2,C3
Micrathena,D2,C3
Mimetus,D1,C3
Misumena,D1,C3
Misumenoides,D2,C3
Misumenops,D1,C3
Neoscona,D2,C3
Neriene,D2,C3
Nesticodes,D1,C3
Oecobius,D2,C3
Oonops,D1,C3
Oxyopes,D1,C3
Paramarpissa,D3,C3
Pardosa,D1,C3
Peckhamia,D3,C3
Pelegrina,D2,C3
Peucetia,D2,C3
Phanias,D3,C3
Phidippus,D1,C3
Philodromus,D1,C3
Salticus,D1,C3
Scaphiella,D3,C3
Schizocosa,D2,C3
Sergiolus,D2,C3
Steatoda,D1,C3
Synageles,D3,C3
Tegenaria,D3,C3
Terralonus,D3,C3
Tetragnatha,D1,C3
Tetranychus,D1,C3
Thanatus,D1,C3
Theridion,D1,C3
Thiodina,D3,C3
Tibellus,D2,C3
Tidarren,D2,C3
Tmarus,D2,C3
Trachelas,D2,C3
Uloborus,D2,C3
Ummidia,D1,C3
Xysticus,D1,C3
Zelotes,D2,C3
Zimiris,D3,C3
Allocyclosa,D4,D4_excluded
Attinella,D4,D4_excluded
Bajacalilena,D4,D4_excluded
Blabomma,D4,D4_excluded
Callidalena,D4,D4_excluded
Camptocosa,D4,D4_excluded
Cinetomorpha,D4,D4_excluded
Coelotes,D4,D4_excluded
Colonus,D4,D4_excluded
Edricus,D4,D4_excluded
Eidmannella,D4,D4_excluded
Escaphiella,D4,D4_excluded
Euophrys,D4,D4_excluded
Gasteracantha,D4,D4_excluded
Hasarius,D4,D4_excluded
Hololena,D4,D4_excluded
Larinia,D4,D4_excluded
Lycosa,D4,D4_excluded
Menemerus,D4,D4_excluded
Messua,D4,D4_excluded
Metacyrba,D4,D4_excluded
Metepeira,D4,D4_excluded
Mexigonus,D4,D4_excluded
Neotama,D4,D4_excluded
Nodocion,D4,D4_excluded
Orchestina,D4,D4_excluded
Paraphidippus,D4,D4_excluded
Philoponella,D4,D4_excluded
Platycryptus,D4,D4_excluded
Plexippus,D4,D4_excluded
Prodidomus,D4,D4_excluded
Rualena,D4,D4_excluded
Sassacus,D4,D4_excluded
Scopoides,D4,D4_excluded
Socalchemmis,D4,D4_excluded
Syspira,D4,D4_excluded
Tigrosa,D4,D4_excluded
Titanebo,D4,D4_excluded
Yorima,D4,D4_excluded
Zorocrates,D4,D4_excluded
Abrolophus,N0,N0
Aceria,N0,N0
Aculops,N0,N0
Alloptes,N0,N0
Allothrombium,N0,N0
Ammotrechula,N0,N0
Androlaelaps,N0,N0
Anuroctonus,N0,N0
Aphonopelma,N0,N0
Aptostichus,N0,N0
Ariadna,N0,N0
Arrenurus,N0,N0
Artema,N0,N0
Atractides,N0,N0
Augustsonella,N0,N0
Balaustium,N0,N0
Bdellodes,N0,N0
Bioculus,N0,N0
Bothriocyrtum,N0,N0
Branchia,N0,N0
Caeculisoma,N0,N0
Califorctenus,N0,N0
Centruroides,N0,N0
Chanbria,N0,N0
Chatia,N0,N0
Chaussieria,N0,N0
Citharoceps,N0,N0
Ctenacarus,N0,N0
Cupiennius,N0,N0
Curicaberis,N0,N0
Dalquestia,N0,N0
Dermacentor,N0,N0
Dermadelema,N0,N0
Dictis,N0,N0
Diguetia,N0,N0
Dinocheirus,N0,N0
Diomedacarus,N0,N0
Dolomedes,N0,N0
Echinonyssus,N0,N0
Enemothrombium,N0,N0
Eremobates,N0,N0
Eremochelis,N0,N0
Eremocosta,N0,N0
Eremorhax,N0,N0
Erythracarus,N0,N0
Erythraeus,N0,N0
Euagrus,N0,N0
Eucteniza,N0,N0
Eurybunus,N0,N0
Euschoengastia,N0,N0
Euschoengastoides,N0,N0
Eutrombicula,N0,N0
Fessonia,N0,N0
Filistatoides,N0,N0
Fuscuropoda,N0,N0
Garypus,N0,N0
Geomylichus,N0,N0
Goffacarus,N0,N0
Hadruroides,N0,N0
Hadrurus,N0,N0
Haemaphysalis,N0,N0
Hannemania,N0,N0
Heteropoda,N0,N0
Hexidionis,N0,N0
Holocnemus,N0,N0
Homalonychus,N0,N0
Horribates,N0,N0
Hyadesia,N0,N0
Hydrodroma,N0,N0
Hydrozetes,N0,N0
Hyponeocula,N0,N0
Hysterochelifer,N0,N0
Ischyropoda,N0,N0
Kevonones,N0,N0
Kochius,N0,N0
Konetontli,N0,N0
Kukulcania,N0,N0
Lasioerythraeus,N0,N0
Leiobunum,N0,N0
Leptus,N0,N0
Leuronychus,N0,N0
Loxosceles,N0,N0
Lutica,N0,N0
Maaykuyak,N0,N0
Mesobates,N0,N0
Mesotritia,N0,N0
Metopilio,N0,N0
